mode,N,dim,trials,accuracy,std,experiment
fixed-1.0,4096,16,20,0.4,0.5026246899500346,selective_decay
fixed-0.99,4096,16,20,0.05,0.22360679774997894,selective_decay
oracle,4096,16,20,0.4,0.5026246899500346,selective_decay
