gamma,n_steps,precision,dim,final_state_magnitude,final_state_norm,theoretical_scale
0.99,2000,float64,8,0.3238537444109495,0.1333970963093244,2.828427124746188
0.999,2000,float64,8,1.413475295863262,0.5670740755532997,28.28427124746188
0.9999,2000,float64,8,2.522392833006922,1.0378536683028492,282.8427124746502
