m,dim,trials,feature_map,precision,linear_mean,linear_std,softmax_mean,softmax_std,state_norm_mean,runtime_s,experiment
2,8,25,elu+1,float64,0.8,0.25,0.98,0.1,5.411145799946285,0.006732900015776977,associative_recall
4,8,25,elu+1,float64,0.54,0.2,0.94,0.13070322617798436,8.03760903991929,0.017373899987433106,associative_recall
8,8,25,elu+1,float64,0.225,0.10825317547305482,0.89,0.09762812094883319,11.598513778195379,0.027508099999977276,associative_recall
16,8,25,elu+1,float64,0.1,0.05103103630798288,0.4175,0.04677071733467427,21.261882444368663,0.06808329999330454,associative_recall
32,8,25,elu+1,float64,0.04125,0.01739926363384382,0.16875,0.042312700024145625,40.01327220712228,0.1354093000118155,associative_recall
64,8,25,elu+1,float64,0.019375,0.00933149628498381,0.06625,0.020312499999999997,77.1282572127998,0.37438200000906363,associative_recall
128,8,25,elu+1,float64,0.00875,0.0025911131174651564,0.0290625,0.009166518701457313,150.53979506318413,1.2743435000011232,associative_recall
2,16,25,elu+1,float64,0.96,0.13844373104863458,1.0,0.0,8.08720424705369,0.012594700005138293,associative_recall
4,16,25,elu+1,float64,0.69,0.23139072294858037,1.0,0.0,11.529433802544727,0.007726799987722188,associative_recall
8,16,25,elu+1,float64,0.33,0.1525819451966713,0.985,0.0414578098794425,16.26884385413431,0.03147419999004342,associative_recall
16,16,25,elu+1,float64,0.1025,0.05376453291901642,0.98,0.02975595178559521,22.98707348284928,0.0612781000090763,associative_recall
32,16,25,elu+1,float64,0.0375,0.01275775907699572,0.46125,0.039610736128815716,41.8477767824359,0.13283849999425001,associative_recall
64,16,25,elu+1,float64,0.01875,0.00637887953849786,0.1975,0.023816382010778493,78.22885622609095,0.3833932000270579,associative_recall
128,16,25,elu+1,float64,0.008125,0.0015625,0.08625,0.01586405667762295,152.27934663338212,1.4940337000007275,associative_recall
2,32,25,elu+1,float64,0.96,0.13844373104863456,1.0,0.0,11.3550128439088,0.01187360001495108,associative_recall
4,32,25,elu+1,float64,0.83,0.18708286933869706,1.0,0.0,16.356644499473564,0.015679300006013364,associative_recall
8,32,25,elu+1,float64,0.285,0.11703809920990116,1.0,0.0,23.112670697788406,0.031150099996011704,associative_recall
16,32,25,elu+1,float64,0.11,0.057847680737145094,1.0,0.0,32.384360529988804,0.06420340001932345,associative_recall
32,32,25,elu+1,float64,0.04,0.016925080009658252,0.99875,0.00625,44.891906670843966,0.1499818000011146,associative_recall
64,32,25,elu+1,float64,0.019375,0.008168951636124022,0.5275,0.022225612805574863,82.06048772492956,0.48390110000036657,associative_recall
128,32,25,elu+1,float64,0.0084375,0.0021631832976349154,0.250625,0.014069731936708435,157.03456883187357,1.5773023000219837,associative_recall
2,64,25,elu+1,float64,1.0,0.0,1.0,0.0,16.374978745736236,0.01403679998475127,associative_recall
4,64,25,elu+1,float64,0.85,0.21650635094610965,1.0,0.0,23.32781847846721,0.01125420001335442,associative_recall
8,64,25,elu+1,float64,0.28,0.13635890143294643,1.0,0.0,32.37604585023949,0.03274640001473017,associative_recall
16,64,25,elu+1,float64,0.09,0.0406650443665482,1.0,0.0,44.93415635800771,0.07356900000013411,associative_recall
32,64,25,elu+1,float64,0.0375,0.012757759076995721,1.0,0.0,63.2658208158867,0.1717903000244405,associative_recall
64,64,25,elu+1,float64,0.0175,0.005182226234930313,1.0,0.0,90.36202323083216,0.6030317000113428,associative_recall
128,64,25,elu+1,float64,0.0078125,0.0,0.68375,0.028179201245111616,165.4649918792567,1.9830503999837674,associative_recall
