quintile,m,dim,trials,accuracy,std,experiment
0,8,16,30,0.2833333333333333,0.4544196025054849,survival_pattern
1,8,16,30,0.36666666666666664,0.4901325178535609,survival_pattern
2,8,16,30,0.2833333333333333,0.4544196025054849,survival_pattern
3,8,16,30,0.3,0.466091599699399,survival_pattern
4,8,16,30,0.38333333333333336,0.4903014177279001,survival_pattern
