N,trial,seed,cosine,recovered
128,0,42,0.9637755590570096,1.0
128,1,43,0.9460205599307637,1.0
128,2,44,0.9657562157596816,1.0
128,3,45,0.928806301790456,1.0
128,4,46,0.9638578829062495,1.0
128,5,47,0.9422476630831534,1.0
128,6,48,0.9544714218028483,1.0
128,7,49,0.9396109136631967,1.0
256,0,42,0.8100178117505842,1.0
256,1,43,0.8287573039641671,1.0
256,2,44,0.9046555695325493,1.0
256,3,45,0.74451316811137,1.0
256,4,46,0.7824097183353298,1.0
256,5,47,0.8385191828959936,1.0
256,6,48,0.9327605864922884,1.0
256,7,49,0.8636202318931396,1.0
512,0,42,0.6871090329228198,1.0
512,1,43,0.6506935303152778,1.0
512,2,44,0.6548346379707245,1.0
512,3,45,0.5611098286706608,1.0
512,4,46,0.7866715469941619,1.0
512,5,47,0.7559320260615636,1.0
512,6,48,0.8368360621253382,1.0
512,7,49,0.5882721987534795,1.0
1024,0,42,0.6315976727728695,1.0
1024,1,43,0.7192731779307394,1.0
1024,2,44,0.6680559388449846,1.0
1024,3,45,0.2650628779841995,0.0
1024,4,46,0.6337757055440344,1.0
1024,5,47,0.7237200237384138,1.0
1024,6,48,0.7858048867436336,1.0
1024,7,49,0.6678412197185598,1.0
2048,0,42,0.4185973849072791,1.0
2048,1,43,0.24202704303261702,0.0
2048,2,44,0.6221505005558843,1.0
2048,3,45,0.5515904980201582,1.0
2048,4,46,0.4795610833775282,1.0
2048,5,47,0.14731173795061503,0.0
2048,6,48,0.5270785314180253,1.0
2048,7,49,0.4828160724454406,1.0
4096,0,42,0.5133085665144981,1.0
4096,1,43,0.06099987141172486,0.0
4096,2,44,0.2439725633458276,0.0
4096,3,45,0.1317619128290655,0.0
4096,4,46,0.4758289126829945,1.0
4096,5,47,-0.2671274947691042,0.0
4096,6,48,-0.1680134746625097,0.0
4096,7,49,0.4499174136921452,1.0
8192,0,42,0.2871189233352859,0.0
8192,1,43,0.1069896028795464,0.0
8192,2,44,0.26501659799210225,0.0
8192,3,45,0.3183782587108957,0.0
8192,4,46,0.15408025867488798,0.0
8192,5,47,0.5848063301632848,1.0
8192,6,48,0.26067475814926866,0.0
8192,7,49,-0.13344009774227109,0.0
