alphabet,trial,seed,recovered
8,0,42,1.0
8,1,43,0.0
8,2,44,1.0
8,3,45,0.0
8,4,46,1.0
8,5,47,0.0
8,6,48,1.0
8,7,49,1.0
8,8,50,1.0
8,9,51,1.0
8,10,52,0.0
8,11,53,1.0
8,12,54,1.0
8,13,55,1.0
8,14,56,1.0
8,15,57,1.0
8,16,58,1.0
8,17,59,1.0
8,18,60,1.0
8,19,61,0.0
8,20,62,0.0
8,21,63,1.0
8,22,64,0.0
8,23,65,1.0
8,24,66,1.0
8,25,67,1.0
8,26,68,1.0
8,27,69,0.0
8,28,70,1.0
8,29,71,1.0
8,30,72,1.0
8,31,73,0.0
8,32,74,0.0
8,33,75,1.0
8,34,76,1.0
8,35,77,0.0
8,36,78,0.0
8,37,79,0.0
8,38,80,1.0
8,39,81,1.0
64,0,42,1.0
64,1,43,1.0
64,2,44,1.0
64,3,45,0.0
64,4,46,1.0
64,5,47,1.0
64,6,48,1.0
64,7,49,1.0
64,8,50,1.0
64,9,51,0.0
64,10,52,0.0
64,11,53,0.0
64,12,54,0.0
64,13,55,1.0
64,14,56,1.0
64,15,57,0.0
64,16,58,0.0
64,17,59,1.0
64,18,60,1.0
64,19,61,1.0
64,20,62,0.0
64,21,63,1.0
64,22,64,1.0
64,23,65,1.0
64,24,66,1.0
64,25,67,0.0
64,26,68,0.0
64,27,69,0.0
64,28,70,0.0
64,29,71,0.0
64,30,72,0.0
64,31,73,1.0
64,32,74,0.0
64,33,75,1.0
64,34,76,0.0
64,35,77,1.0
64,36,78,0.0
64,37,79,0.0
64,38,80,1.0
64,39,81,1.0
-1,0,42,1.0
-1,1,43,0.0
-1,2,44,1.0
-1,3,45,1.0
-1,4,46,1.0
-1,5,47,0.0
-1,6,48,1.0
-1,7,49,1.0
-1,8,50,0.0
-1,9,51,0.0
-1,10,52,1.0
-1,11,53,1.0
-1,12,54,1.0
-1,13,55,0.0
-1,14,56,0.0
-1,15,57,1.0
-1,16,58,0.0
-1,17,59,1.0
-1,18,60,1.0
-1,19,61,0.0
-1,20,62,0.0
-1,21,63,1.0
-1,22,64,1.0
-1,23,65,1.0
-1,24,66,0.0
-1,25,67,1.0
-1,26,68,1.0
-1,27,69,1.0
-1,28,70,0.0
-1,29,71,0.0
-1,30,72,1.0
-1,31,73,1.0
-1,32,74,1.0
-1,33,75,1.0
-1,34,76,1.0
-1,35,77,1.0
-1,36,78,0.0
-1,37,79,1.0
-1,38,80,0.0
-1,39,81,1.0
