mode,chunk,N,dim,position_frac,trials,accuracy,std,max_state_norm,experiment
zero,1024,4096,16,0.1,8,0.125,0.3535533905932738,8.26262026902111,chunk_summary
zero,1024,4096,16,0.9,8,0.75,0.4629100498862757,8.51866980416182,chunk_summary
summary,1024,4096,16,0.1,8,0.125,0.3535533905932738,8.262544342182842,chunk_summary
summary,1024,4096,16,0.9,8,0.75,0.4629100498862757,8.518510228539508,chunk_summary
none,1024,4096,16,0.1,8,0.375,0.5175491695067657,14.807712415944437,chunk_summary
none,1024,4096,16,0.9,8,0.375,0.5175491695067657,14.812462588851666,chunk_summary
