sigma,N,dim,trials,linear_accuracy,linear_std,softmax_accuracy,softmax_std,experiment
0.0,1024,16,10,0.9,0.31622776601683794,1.0,0.0,noisy_query
0.1,1024,16,10,0.9,0.31622776601683794,1.0,0.0,noisy_query
0.3,1024,16,10,0.9,0.31622776601683794,1.0,0.0,noisy_query
1.0,1024,16,10,0.9,0.31622776601683794,1.0,0.0,noisy_query
