N,position_frac,dim,trials,accuracy,retrieval_error_mean,state_norm_mean,state_magnitude_mean,runtime_s,precision,feature_map,seed,experiment
128,0.1,16,5,1.0,0.9902824070427497,4.292321294598011,40.48522449347922,0.02133950000279583,float64,elu+1,43,seed_robustness
128,0.5,16,5,1.0,0.9902824070427497,4.292321294598011,40.48522449347922,0.01599220000207424,float64,elu+1,43,seed_robustness
128,0.9,16,5,1.0,0.9902824070427497,4.292321294598011,40.48522449347922,0.018516800046199933,float64,elu+1,43,seed_robustness
512,0.1,16,5,1.0,0.9979101802783692,6.005945594972084,73.52079330354665,0.06566769996425137,float64,elu+1,43,seed_robustness
512,0.5,16,5,1.0,0.9979101802783692,6.005945594972084,73.52079330354665,0.0655158000299707,float64,elu+1,43,seed_robustness
512,0.9,16,5,1.0,0.9979101802783692,6.005945594972084,73.52079330354665,0.06846409995341673,float64,elu+1,43,seed_robustness
1024,0.1,16,5,0.6,0.9988617271337311,7.473223181172008,93.13343525678678,0.12652039996464737,float64,elu+1,43,seed_robustness
1024,0.5,16,5,0.6,0.9988617271337311,7.473223181172008,93.13343525678677,0.12214659998426214,float64,elu+1,43,seed_robustness
1024,0.9,16,5,0.6,0.9988617271337311,7.473223181172008,93.13343525678678,0.12595700001111254,float64,elu+1,43,seed_robustness
4096,0.1,16,5,0.2,0.9997202501033289,15.128089420990326,195.13979354404404,0.502059799968265,float64,elu+1,43,seed_robustness
4096,0.5,16,5,0.2,0.9997202501033289,15.128089420990326,195.13979354404404,0.47810549999121577,float64,elu+1,43,seed_robustness
4096,0.9,16,5,0.2,0.9997202501033289,15.128089420990326,195.13979354404404,0.5193103000055999,float64,elu+1,43,seed_robustness
128,0.1,16,5,1.0,0.9901580721910364,4.423462747988195,42.012208832075466,0.025277300010202453,float64,elu+1,44,seed_robustness
128,0.5,16,5,1.0,0.9901580721910364,4.423462747988195,42.012208832075466,0.017783999996026978,float64,elu+1,44,seed_robustness
128,0.9,16,5,1.0,0.9901580721910364,4.423462747988195,42.012208832075466,0.021839699998963624,float64,elu+1,44,seed_robustness
512,0.1,16,5,1.0,0.997771769672189,6.123729774429082,73.00252226328152,0.06494179999572225,float64,elu+1,44,seed_robustness
512,0.5,16,5,1.0,0.997771769672189,6.123729774429082,73.00252226328152,0.06445599999278784,float64,elu+1,44,seed_robustness
512,0.9,16,5,1.0,0.997771769672189,6.123729774429082,73.00252226328152,0.07239260000642389,float64,elu+1,44,seed_robustness
1024,0.1,16,5,0.6,0.9988468570780766,7.784421412601146,96.58351396972844,0.12258449997170828,float64,elu+1,44,seed_robustness
1024,0.5,16,5,0.6,0.9988468570780766,7.784421412601145,96.58351396972844,0.12800669998978265,float64,elu+1,44,seed_robustness
1024,0.9,16,5,0.6,0.9988468570780766,7.784421412601148,96.58351396972844,0.1231934999814257,float64,elu+1,44,seed_robustness
4096,0.1,16,5,0.2,0.9997070801171374,15.738530135251462,201.52652110100433,0.4915486999670975,float64,elu+1,44,seed_robustness
4096,0.5,16,5,0.2,0.9997070801171374,15.73853013525146,201.52652110100433,0.4885183000587858,float64,elu+1,44,seed_robustness
4096,0.9,16,5,0.2,0.9997070801171374,15.738530135251462,201.52652110100436,0.5072809000266716,float64,elu+1,44,seed_robustness
