m,dim,trials,linear_mean,linear_std,softmax_mean,softmax_std,feature_map,experiment
2,16,10,1.0,0.0,1.0,0.0,elu+1,orthogonal_keys
4,16,10,0.3,0.10540925533894599,0.625,0.27003086243366087,elu+1,orthogonal_keys
8,16,10,0.15,0.052704627669472995,0.225,0.11486707293408518,elu+1,orthogonal_keys
16,16,10,0.06875,0.01976423537605237,0.09375,0.04419417382415922,elu+1,orthogonal_keys
32,16,10,0.03125,0.0,0.040625,0.015095184110613998,elu+1,orthogonal_keys
64,16,10,0.015625,0.0,0.021875,0.008068715304598786,elu+1,orthogonal_keys
128,16,10,0.00859375,0.0024705294220065464,0.01015625,0.003773796027653499,elu+1,orthogonal_keys
