N,trials,linear_time_s,softmax_time_s,linear_bytes_theory,softmax_bytes_theory,experiment
256,3,0.010715233336668462,0.002442099998006597,1088,262144,full_timing
512,3,0.01455043333893021,0.010836033334877962,1088,1048576,full_timing
1024,3,0.026031566667370498,0.04576233333985632,1088,4194304,full_timing
2048,3,0.057632833340903744,0.2362012666708324,1088,16777216,full_timing
4096,3,0.09944170000380836,0.8313258999939231,1088,67108864,full_timing
8192,2,0.3889920999936294,3.8897498499864014,1088,268435456,full_timing
