m,dim,trials,feature_map,precision,linear_mean,linear_std,softmax_mean,softmax_std,state_norm_mean,runtime_s,experiment
2,16,15,centered_elu,float64,1.0,0.0,1.0,0.0,4.349716101187615,0.013123900018399581,centered_random
4,16,15,centered_elu,float64,0.9833333333333333,0.06454972243679027,1.0,0.0,6.255402696146135,0.01015039999037981,centered_random
8,16,15,centered_elu,float64,0.9583333333333334,0.06099375455928331,0.9916666666666667,0.03227486121839514,9.031904452868782,0.00941109997802414,centered_random
16,16,15,centered_elu,float64,0.85,0.08114691262501258,0.9791666666666666,0.030496877279641666,12.925583285030541,0.029424299980746582,centered_random
32,16,15,centered_elu,float64,0.3,0.048412291827592706,0.4666666666666667,0.03436823526511211,18.04282359691243,0.08245119999628514,centered_random
64,16,15,centered_elu,float64,0.08854166666666667,0.04445645609014779,0.196875,0.026934112730354207,25.138017193514756,0.28046189999440685,centered_random
128,16,15,centered_elu,float64,0.030208333333333334,0.014120251783047873,0.08697916666666666,0.011762072698579389,35.67959738365443,0.6369039999844972,centered_random
