N,position_frac,dim,trials,accuracy,retrieval_error_mean,state_norm_mean,state_magnitude_mean,runtime_s,precision,feature_map,experiment
16384,0.1,16,3,0.0,0.9998898060730744,26.860215450044,343.3554700832012,1.1617298999917691,float64,elu+1,long_length
16384,0.9,16,3,0.0,0.9998898060730744,26.860215450044,343.3554700832012,1.134769900003448,float64,elu+1,long_length
65536,0.1,16,3,0.0,0.9999642553634622,57.70345097857783,720.4229007319615,4.757657199981622,float64,elu+1,long_length
65536,0.9,16,3,0.0,0.9999642553634622,57.70345097857783,720.4229007319615,4.709661299973959,float64,elu+1,long_length
1048576,0.1,16,2,0.0,0.9999992621146748,218.41243787444108,2584.289504869657,50.48954399998184,float64,elu+1,long_length
1048576,0.9,16,2,0.0,0.9999992621146748,218.41243787444108,2584.289504869657,49.13774030000786,float64,elu+1,long_length
262144,0.1,16,10,0.1,0.999996809222465,113.33212098988812,1473.3295605941962,72.80271460002405,float64,elu+1,long_length
262144,0.9,16,10,0.1,0.999996809222465,113.33212098988812,1473.3295605941962,73.98503179996624,float64,elu+1,long_length
