N,dim,trials,cosine_mean,cosine_std,accuracy,experiment
128,16,8,0.9505683147491699,0.013525191682802473,1.0,cosine_drift
256,16,8,0.8381566966219278,0.061849472276216164,1.0,cosine_drift
512,16,8,0.6901823579767532,0.09636549761342057,1.0,cosine_drift
1024,16,8,0.6368914379096793,0.1588910203683448,0.875,cosine_drift
2048,16,8,0.4338916064634435,0.1610818304485773,0.75,cosine_drift
4096,16,8,0.18008103388058022,0.29594437494174763,0.375,cosine_drift
8192,16,8,0.23045307902037507,0.20427934312283277,0.125,cosine_drift
