N,position_frac,trial,recovered,error,state_norm
128,0.1,0,1.0,0.9905795006133435,4.166367900799642
128,0.1,1,1.0,0.9900531492044207,4.3265483308392385
128,0.1,2,1.0,0.9896451315361242,4.74775804105506
128,0.1,3,1.0,0.9922485890314845,3.8736248141022473
128,0.1,4,1.0,0.9880140434696721,4.830246001032996
128,0.1,5,1.0,0.991451121972047,3.683429285960516
128,0.1,6,1.0,0.9894314749458543,4.982255597790159
128,0.1,7,1.0,0.9891491707334504,5.0321099850928945
128,0.1,8,1.0,0.9885544955053919,4.77245069045974
128,0.1,9,1.0,0.9884391254281336,4.745687176569521
128,0.5,0,1.0,0.9905795006133435,4.166367900799642
128,0.5,1,1.0,0.9900531492044207,4.326548330839238
128,0.5,2,1.0,0.9896451315361242,4.74775804105506
128,0.5,3,1.0,0.9922485890314845,3.873624814102248
128,0.5,4,1.0,0.9880140434696721,4.830246001032996
128,0.5,5,1.0,0.991451121972047,3.683429285960516
128,0.5,6,1.0,0.9894314749458543,4.982255597790159
128,0.5,7,1.0,0.9891491707334504,5.0321099850928945
128,0.5,8,1.0,0.9885544955053919,4.77245069045974
128,0.5,9,1.0,0.9884391254281336,4.745687176569522
128,0.9,0,1.0,0.9905795006133435,4.166367900799642
128,0.9,1,1.0,0.9900531492044207,4.3265483308392385
128,0.9,2,1.0,0.9896451315361242,4.74775804105506
128,0.9,3,1.0,0.9922485890314845,3.8736248141022482
128,0.9,4,1.0,0.9880140434696721,4.830246001032997
128,0.9,5,1.0,0.991451121972047,3.683429285960516
128,0.9,6,1.0,0.9894314749458543,4.982255597790159
128,0.9,7,1.0,0.9891491707334504,5.032109985092895
128,0.9,8,1.0,0.9885544955053919,4.77245069045974
128,0.9,9,1.0,0.9884391254281336,4.745687176569522
512,0.1,0,1.0,0.9978485130298055,6.039084077425783
512,0.1,1,1.0,0.9979168825731277,6.057517232052054
512,0.1,2,1.0,0.998160261884834,5.219620255628156
512,0.1,3,1.0,0.998784073942824,5.21490858897247
512,0.1,4,1.0,0.9967950807065826,6.944686753077939
512,0.1,5,1.0,0.9978946022844781,6.592995145129799
512,0.1,6,1.0,0.9972248295422258,6.646438129337046
512,0.1,7,1.0,0.9983208263823505,5.323208165927271
512,0.1,8,1.0,0.9964164114657612,6.984323543050323
512,0.1,9,1.0,0.9964657914804805,7.076120917806708
512,0.5,0,1.0,0.9978485130298055,6.039084077425782
512,0.5,1,1.0,0.9979168825731277,6.057517232052055
