m,dim,trials,feature_map,precision,linear_mean,linear_std,softmax_mean,softmax_std,state_norm_mean,runtime_s,experiment
2,8,12,centered_elu,float64,1.0,0.0,1.0,0.0,2.7936459118445662,0.004409900022437796,centered_d_scaling
4,8,12,centered_elu,float64,0.875,0.1685499656158105,0.9166666666666666,0.1628347368197324,4.139476445925386,0.0038181999989319593,centered_d_scaling
8,8,12,centered_elu,float64,0.78125,0.13191121325277158,0.8958333333333334,0.08971757032065918,6.224342342470248,0.012387399998260662,centered_d_scaling
16,8,12,centered_elu,float64,0.2760416666666667,0.09776745562193935,0.4166666666666667,0.0407086842049331,9.081799539471303,0.02965900002163835,centered_d_scaling
32,8,12,centered_elu,float64,0.07552083333333333,0.036390629777541095,0.16927083333333334,0.03386327092033849,12.635654146892206,0.05673949999618344,centered_d_scaling
64,8,12,centered_elu,float64,0.032552083333333336,0.016931635460169243,0.06770833333333333,0.023398009660238327,17.81514422442324,0.13166030001593754,centered_d_scaling
128,8,12,centered_elu,float64,0.009114583333333334,0.008708131703479886,0.030598958333333332,0.009097657444385272,25.71943528972511,0.4464768999896478,centered_d_scaling
2,32,12,centered_elu,float64,1.0,0.0,1.0,0.0,6.043237491104061,0.002623299980768934,centered_d_scaling
4,32,12,centered_elu,float64,1.0,0.0,1.0,0.0,8.903059250080599,0.008334999991348013,centered_d_scaling
8,32,12,centered_elu,float64,0.9895833333333334,0.036084391824351615,1.0,0.0,12.879356998536084,0.008423599996604025,centered_d_scaling
16,32,12,centered_elu,float64,0.90625,0.09422229518055114,1.0,0.0,18.071068436439777,0.023354000004474074,centered_d_scaling
32,32,12,centered_elu,float64,0.8515625,0.08118988160479113,1.0,0.0,25.2164855376471,0.054162300017196685,centered_d_scaling
64,32,12,centered_elu,float64,0.359375,0.07175756216088118,0.52734375,0.02591113117465156,35.46290983175404,0.16886480001267046,centered_d_scaling
128,32,12,centered_elu,float64,0.125,0.026650089544451305,0.251953125,0.017666680346353335,50.48330687493148,0.5684789999795612,centered_d_scaling
2,64,12,centered_elu,float64,1.0,0.0,1.0,0.0,8.917961546074643,0.003016400005435571,centered_d_scaling
4,64,12,centered_elu,float64,1.0,0.0,1.0,0.0,12.957098071029312,0.009709900012239814,centered_d_scaling
8,64,12,centered_elu,float64,1.0,0.0,1.0,0.0,18.110640205248068,0.0073859000112861395,centered_d_scaling
16,64,12,centered_elu,float64,0.9895833333333334,0.024328092005047597,1.0,0.0,25.234896364225875,0.029268500016769394,centered_d_scaling
32,64,12,centered_elu,float64,0.9348958333333334,0.04510548978043951,1.0,0.0,35.40939841298471,0.062238500016974285,centered_d_scaling
64,64,12,centered_elu,float64,0.8268229166666666,0.03226913008788412,1.0,0.0,50.789161422398585,0.2166078999871388,centered_d_scaling
128,64,12,centered_elu,float64,0.3860677083333333,0.04832721284801346,0.6842447916666666,0.03338886605827154,71.56212199254516,0.7072834999999031,centered_d_scaling
